PPID,FS,Unit,Level,Feature,Art,Size Grade,Weight (g),Chert,Cortex,Flake,Category,Modified,Thermal Alteration,Tool Class,Tool Class Comment,Pottery,Pottery Comment,Historic,Historic Comment,Comment,x,y,z
1,2017-035,N547E390,2,,1,"3/4""",6.7,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,cordmarked,FALSE,,,390.506,547.56,100.673
363,2017-101,N547E392,4,,1,"1""",26.1,FALSE,FALSE,FALSE,,FALSE,FALSE,,,FALSE,,TRUE,Jar Lid,,392.938,547.523,100.627
133,2017-066,N547E391,3,,1,"1/2""",40.3,FALSE,FALSE,FALSE,,FALSE,FALSE,,,FALSE,,TRUE,Nail,,391.369,547.973,100.634
132,2017-066,N547E391,3,,2,"1/2""",2.5,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,391.483,547.826,100.62
134,2017-066,N547E391,3,,4,"1""",78.9,FALSE,FALSE,FALSE,,FALSE,FALSE,,,FALSE,,TRUE,Brick,,391.298,547.328,100.658
135,2017-066,N547E391,3,,5,"1""",41.6,FALSE,FALSE,FALSE,,FALSE,FALSE,,,FALSE,,TRUE,Glass,,391.6,547.122,100.592
364,2017-103,N547E392,5,,1,"3/4""",6.2,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,cordmarked,FALSE,,,392.896,547.946,100.527
365,2017-103,N547E392,5,,1,"3/4""",6.2,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,cordmarked,FALSE,,,392.896,547.946,100.527
366,2017-105,N547E392,6,,1,"1/4""",0.7,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,392.829,547.827,100.468
136,2017-068,N547E391,4,,1,"1/2""",3.3,TRUE,FALSE,TRUE,Medial,FALSE,FALSE,,,FALSE,,FALSE,,,391.757,547.077,100.554
2,2017-040,N547E390,6,,1,"3/4""",7.9,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,cordmarked,FALSE,,,390.813,547.603,100.508
367,2017-108,N547E392,8,,1,"1/4""",1.8,TRUE,TRUE,TRUE,Medial,FALSE,TRUE,,,FALSE,,FALSE,,,392.704,547.673,100.36
363,2017-101,N547E392,4,,1,"1""",26.1,FALSE,FALSE,FALSE,,FALSE,FALSE,,,FALSE,,TRUE,Jar Lid,,392.547,547.802,100.343
371,2017-110,N547E392,9,,5,"1/2""",3.7,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.654,547.87,100.321
138,2017-070,N547E391,5,,1,"1/2""",2.4,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,plain,FALSE,,,391.795,547.539,100.515
137,2017-070,N547E391,5,,1,"1/2""",2.4,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,plain,FALSE,,,391.795,547.539,100.515
130,2017-044,N547E390,9,,1,"3/4""",32.9,TRUE,FALSE,FALSE,,FALSE,FALSE,Other,Rock,FALSE,,FALSE,,,390.302,547.325,100.322
377,2017-114,N547E392,11,,1,"1/2""",2.4,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.175,547.776,100.226
384,2017-114,N547E392,11,,2,"3/4""",18,FALSE,FALSE,FALSE,,FALSE,FALSE,Other,Sandstone,FALSE,,FALSE,,Projectile point tip,392.347,547.726,100.247
378,2017-114,N547E392,11,,3,"1/2""",0.9,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,392.694,547.687,100.221
